No;Kode Part;Desc Part;Gudang Part;Lokasi Part;ONHAND;BOOKING;AVS
1197;61100K1AN00MIB;FENDER,FR (MA BL MT);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;5;0;5
1198;61100K1AN00MSG;FENDER,FR (MT SA GR);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;3;0;3
1199;61100K25600ZA;61100K25900ZA;GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;0;0;0
1200;61100K25600ZB;61100K25900ZD;GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;0;0;0
1201;61100K25600ZC;61100K25900ZJ;GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;0;0;0
1202;61100K25900ZA;FENDER FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;5;0;5
1203;61100K25900ZC;FENDER FR(PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;3;0;3
1204;61100K25900ZD;FENDER FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;3;0;3
1205;61100K25900ZG;FENDER FR(PL CT BL);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;2;0;2
1206;61100K25900ZH;FENDER FR(BR LM GR);GUDANG UTAMA BAHAGIA MOTOR;C1.04.1.1;1;0;1
1207;61100K25900ZJ;FENDER FR(VD BL MT);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;0;0;0
1208;61100K2FN00YJ;FENDER, FR (MA SD SL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1209;61100K2FN00ZJ;FENDER, FR (AS BK MT);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;2;0;2
1210;61100K2FN00ZK;FENDER, FR (MA JB MT);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1211;61100K2FN00ZM;FENDER, FR (VA RD);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1212;61100K2FN00ZN;FENDER, FR (MT SO RED);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1213;61100K2FN00ZQ;FENDER, FR (MA PR CR);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;1;0;1
1214;61100K41N00ZC;FENDER A FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;3;0;3
1215;61100K46N00ZB;FENDER FR(PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;0;0;0
1216;61100K46N00ZC;FENDER FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;2;0;2
1217;61100K46N00ZH;FENDER FR(RO WH);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1218;61100K56N00WRD;61100K56N00ZD;GUDANG UTAMA BAHAGIA MOTOR;C1.04.2.1;1;0;1
1219;61100K59A10AFB;FENDER FR (AF BK MT);GUDANG UTAMA BAHAGIA MOTOR;C1.04.2.1;2;0;2
1220;61100K59A10CSR;FENDER FR (CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;0;0;0
1221;61100K59A10MGB;FENDER FR (MT GN BL);GUDANG UTAMA BAHAGIA MOTOR;B2.06.3.1;0;0;0
1222;61100K59A70ZK;FENDER,FR (MT CR SL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1223;61100K61900ZB;FENDER FR (RO WH);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;2;0;2
1224;61100K61900ZC;FENDER FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;2;0;2
1225;61100K81N00ZA;FENDER FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;3;0;3
1226;61100K81N00ZC;FENDER FR (RO WH);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.1;0;0;0
1227;61100K93N00ZK;FENDER FR (MA JB MT);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;3;0;3
1228;61100K93N00ZL;FENDER FR (WN RD);GUDANG UTAMA BAHAGIA MOTOR;A2.02.2.1;2;0;2
1229;61100K93N00ZM;FENDER FR (RO WH);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;2;0;2
1230;61100K93N00ZN;FENDER FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;4;0;4
1231;61100K93N00ZP;FENDER, FR. (MA SL RD);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;3;0;3
1232;61100K93N00ZQ;FENDER, FR. (PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;A3.01.2.1;0;0;0
1233;61100K97T00ZR;FENDER FR (AS BL ME);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1234;61100KPH880FMB;FENDER A FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B2.02.1.1;1;0;1
1235;61100KSPB00FMB;FENDER FR(BK);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;1;0;1
1236;61100KTM850FMN;FENDER FR(AN GY MET);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;1;0;1
1237;61100KVB930FMB;FENDER FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;0;0;0
1238;61100KVB930JGM;FENDER FR(JAZ GN MET);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;1;0;1
1239;61100KVB930WRD;FENDER FR(WN RD);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;1;0;1
1240;61100KVBN50POV;FENDER FR(PR OD VL);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;0;0;0
1241;61100KVBN50SBM;FENDER FR(SP BL MT);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;3;0;3
1242;61100KVLN00CSR;FDR A FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;2;0;2
1243;61100KVLN00FMB;FENDER A FR(BK);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;1;0;1
1244;61100KVR600ABM;FENDER A FR(AS BL MT-A);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;3;0;3
1245;61100KVR600PEO;FENDER A FR(PL EX OR-A);GUDANG UTAMA BAHAGIA MOTOR;C1.01.2.1;2;0;2
1246;61100KVY720PFW;FENDER FR (PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;0;0;0
1247;61100KVY720PPM;FENDER FR(PD PK MT);GUDANG UTAMA BAHAGIA MOTOR;C1.06.2.1;0;0;0
1248;61100KVY720SBM;FENDER FR (SP BL MT);GUDANG UTAMA BAHAGIA MOTOR;C1.06.2.1;0;0;0
1249;61100KVY960CBO;FENDER FR(CN BZ OR);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;0;0;0
1250;61100KVY960CSR;FENDER FR(CN SC MT);GUDANG UTAMA BAHAGIA MOTOR;C1.04.2.1;0;0;0
1251;61100KVY960PFW;FENDER FR(PL FD WHT);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;0;0;0
1252;61100KVY960SBM;FENDER FR (SP BL MT);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;2;0;2
1253;61100KYT940POV;FENDER FR(PR OD VL);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;1;0;1
1254;61100KZL930YB;FENDER FR.(VD BL MT);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;1;0;1
1255;61100KZR600AFB;FENDER FR(AF BK MT);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;2;0;2
1256;61100KZR600CSR;FENDER FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;2;0;2
1257;61100KZR600FMB;FENDER FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;3;0;3
1258;61100KZR600PFW;FENDER FR(PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;0;0;0
1259;61101GBG910FMB;FENDER A FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B1.01.1.5;2;0;2
